h,clase
108,0
108,0
107,0
107,0
108,0
108,0
108,0
108,0
107,0
107,0
106,0
107,0
107,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
108,0
108,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
105,0
105,0
105,0
106,0
105,0
105,0
106,0
106,0
108,0
108,0
108,0
108,0
106,0
106,0
106,0
106,0
106,0
105,0
105,0
105,0
105,0
105,0
105,0
105,0
105,0
108,0
108,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
105,0
105,0
105,0
106,0
106,0
106,0
106,0
107,0
108,0
106,0
106,0
105,0
106,0
106,0
105,0
105,0
105,0
105,0
105,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
108,0
108,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
108,0
108,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
108,0
108,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
105,0
105,0
106,0
106,0
108,0
108,0
107,0
106,0
106,0
106,0
105,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
105,0
105,0
105,0
108,0
106,0
106,0
106,0
106,0
106,0
107,0
105,0
105,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
106,0
107,0
106,0
106,0
106,0
106,0
107,0
106,0
106,0
106,0
105,0
105,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
105,0
105,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
108,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
105,0
105,0
105,0
105,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
105,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
105,0
105,0
105,0
105,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
105,0
105,0
105,0
105,0
105,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
108,0
108,0
108,0
108,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
105,0
105,0
105,0
105,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
108,0
108,0
108,0
108,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
105,0
105,0
105,0
105,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
107,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
108,0
108,0
108,0
108,0
107,0
107,0
108,0
108,0
107,0
107,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
105,0
105,0
105,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
105,0
105,0
107,0
105,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
107,0
107,0
107,0
107,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
108,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
105,0
105,0
103,0
104,0
104,0
105,0
105,0
105,0
105,0
105,0
105,0
105,0
105,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
105,0
105,0
106,0
107,0
107,0
107,0
107,0
107,0
106,0
106,0
106,0
105,0
105,0
107,0
106,0
106,0
105,0
105,0
106,0
107,0
107,0
106,0
106,0
105,0
107,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
106,0
106,0
106,0
